Date,XMA
16/3/2017,97.14
17/3/2017,97.095
20/3/2017,97.135
21/3/2017,97.15
22/3/2017,97.205
23/3/2017,97.22
24/3/2017,97.21
27/3/2017,97.255
28/3/2017,97.265
29/3/2017,97.24
30/3/2017,97.275
31/3/2017,97.27
3/4/2017,97.29
4/4/2017,97.36
5/4/2017,97.36
6/4/2017,97.39
7/4/2017,97.42
10/4/2017,97.395
11/4/2017,97.44
12/4/2017,97.47
13/4/2017,97.5
18/4/2017,97.485
19/4/2017,97.52
20/4/2017,97.47
21/4/2017,97.435
24/4/2017,97.375
25/4/2017,97.38
26/4/2017,97.34
27/4/2017,97.36
28/4/2017,97.395
1/5/2017,97.395
2/5/2017,97.365
3/5/2017,97.38
4/5/2017,97.325
5/5/2017,97.32
8/5/2017,97.295
9/5/2017,97.285
10/5/2017,97.31
11/5/2017,97.315
12/5/2017,97.335
15/5/2017,97.38
16/5/2017,97.385
17/5/2017,97.44
18/5/2017,97.47
19/5/2017,97.475
22/5/2017,97.455
23/5/2017,97.495
24/5/2017,97.46
25/5/2017,97.505
26/5/2017,97.535
29/5/2017,97.53
30/5/2017,97.55
31/5/2017,97.56
1/6/2017,97.55
2/6/2017,97.535
5/6/2017,97.555
6/6/2017,97.575
7/6/2017,97.565
8/6/2017,97.545
9/6/2017,97.55
12/6/2017,97.5425
13/6/2017,97.555
14/6/2017,97.5525
15/6/2017,97.5975
16/6/2017,97.55
19/6/2017,97.55
20/6/2017,97.54
21/6/2017,97.565
22/6/2017,97.58
23/6/2017,97.585
26/6/2017,97.58
27/6/2017,97.6
28/6/2017,97.495
29/6/2017,97.445
30/6/2017,97.35
3/7/2017,97.335
4/7/2017,97.38
5/7/2017,97.37
