Date,YMA
16/3/2017,97.94
17/3/2017,97.92
20/3/2017,97.95
21/3/2017,97.96
22/3/2017,97.98
23/3/2017,98
24/3/2017,98.01
27/3/2017,98.04
28/3/2017,98.06
29/3/2017,98.04
30/3/2017,98.06
31/3/2017,98.05
3/4/2017,98.07
4/4/2017,98.11
5/4/2017,98.12
6/4/2017,98.15
7/4/2017,98.19
10/4/2017,98.18
11/4/2017,98.19
12/4/2017,98.21
13/4/2017,98.22
18/4/2017,98.21
19/4/2017,98.23
20/4/2017,98.2
21/4/2017,98.18
24/4/2017,98.16
25/4/2017,98.15
26/4/2017,98.12
27/4/2017,98.14
28/4/2017,98.17
1/5/2017,98.16
2/5/2017,98.14
3/5/2017,98.15
4/5/2017,98.1
5/5/2017,98.1
8/5/2017,98.08
9/5/2017,98.08
10/5/2017,98.11
11/5/2017,98.13
12/5/2017,98.15
15/5/2017,98.18
16/5/2017,98.18
17/5/2017,98.22
18/5/2017,98.21
19/5/2017,98.22
22/5/2017,98.21
23/5/2017,98.24
24/5/2017,98.23
25/5/2017,98.26
26/5/2017,98.28
29/5/2017,98.27
30/5/2017,98.3
31/5/2017,98.32
1/6/2017,98.31
2/6/2017,98.29
5/6/2017,98.3
6/6/2017,98.31
7/6/2017,98.26
8/6/2017,98.25
9/6/2017,98.24
12/6/2017,98.25
13/6/2017,98.245
14/6/2017,98.235
15/6/2017,98.23
16/6/2017,98.19
19/6/2017,98.18
20/6/2017,98.16
21/6/2017,98.18
22/6/2017,98.19
23/6/2017,98.19
26/6/2017,98.18
27/6/2017,98.19
28/6/2017,98.12
29/6/2017,98.08
30/6/2017,98.02
3/7/2017,98.01
4/7/2017,98.07
5/7/2017,98.05
